PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,close,open,volume,high,low
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,16,,S,169.64,168.28,11377350,169.87,167.15
17,0,3,"Rice, Master. Eugene",male,2,4,1,382652,29.125,,Q,167.78,167.16,11898620,168,165.82
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,S,167.41,166.84,15065590,168.67,166.21
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S,166.91,169.34,17009420,169.86,166.85
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,170,171.25,15732840,171.38,169.24
21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S,171,171.49,8713651,171.5,170.01
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S,170.75,170.09,12940140,171.08,169.29
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q,168.08,167.95,13778190,168.82,166.85
24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S,167.4,170.06,20551720,170.59,166.85
25,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S,171.18,169.98,10800730,171.45,169.56
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S,171.23,171.88,14317200,173.05,170.62
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,171.98,169.95,12765230,172.06,169.66
28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,169.62,168.97,10505980,170.06,168.69
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,168.59,169.3,10519470,169.7,168.25
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,169.3,170.3,17181110,170.55,166.91
31,0,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C,169.86,169.82,14286110,170.47,169.05
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,169.25,172,25429310,172.72,168.55
33,1,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,172.45,169.07,24546680,173.43,169.05
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S,170.44,174.7,68454830,175.49,167.5
35,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C,165.61,166.01,32989200,166.01,164.1
36,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S,165.28,165.01,15309000,165.54,163.8619
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,166,164.64,17208500,166.17,164.31
38,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S,164.43,164.16,14712450,165.05,163.75
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S,164.53,164.8,18409730,165,162.81
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C,164.14,163.59,26144510,165.7,163.17
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,,S,162.86,159.66,23686800,163.73,159.42
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S,159.73,160.25,12757430,160.78,158.81
43,0,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,159.97,160.13,16305570,160.32,159.3254
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,,C,159.26,158.74,13912150,159.78,158.4227
45,1,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,,Q,158.9,156.49,22710090,159.16,156.2
46,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,155.27,153.37,13652540,155.4225,152.91
47,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,153.5,151.69,13326410,153.98,151.51
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,151.44,149.25,13249750,151.99,149.19
49,0,3,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,148.82,149.03,14934450,150.04,148
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,,S,150.34,149,14321330,150.85,148.13
51,0,3,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,,S,148.43,151.72,13862740,152.15,147.8
52,0,3,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,,S,150.98,151.9,14909670,151.92,150.06
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,D33,C,151.04,152.28,23948630,152.5,148.9175
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,,S,153.24,150.92,16696230,153.47,149.86
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C,150.58,152.84,19351560,153.31,150.39
56,1,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,153.59,156.25,18030200,156.5,153.1954
57,1,2,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,,S,155.07,152.72,17897280,155.2,152.65
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,153.4,153.01,12835380,154.55,152.91
59,1,2,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,,S,153.91,152.36,14943770,154.08,151.88
60,0,3,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,,S,152.25,152.88,14733590,153.84,152.21
61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,,C,152.87,151.71,18944190,153.57,151.71
62,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,,150.64,149.59,22843010,150.83,148.6
63,0,1,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,C83,S,149.8,147.67,18956910,150.0366,146.3747
64,0,3,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S,150.25,151.26,20774910,152.4,149.05
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,150.68,150.15,20474720,151.18,148.9
66,1,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,148.44,148.17,33150610,149.195,144.56
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,F33,S,149.6,154.77,35541670,155.59,146.61
68,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S,154.71,154.08,17795860,154.73,153.1
69,1,3,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,,S,153.12,153.27,12040430,153.75,152.34
70,0,3,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,,S,152.81,153.41,13443610,154.52,152.48
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,10.5,,S,153.63,153.64,12504820,154.7088,153.41
72,0,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,,S,153.61,151.85,16838650,153.63,151.3
73,0,2,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,73.5,,S,151.53,151.75,14511530,152.29,150.3
74,0,3,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,,C,151.46,152.7,18001140,153.35,151.09
75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,,S,152.38,151.97,13213700,152.9,151.64
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S,152.13,152.23,14984540,152.25,151.15
77,0,3,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,151.96,150.3,19827210,152.59,149.95
78,0,3,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,150.04,148.51,17914740,150.23,148.42
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,,S,148.07,148.52,12807840,148.81,147.25
80,1,3,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,,S,148.24,148.08,12578390,148.59,147.69
81,0,3,"Waelens, Mr. Achille",male,22,0,0,345767,9,,S,148.06,148.445,16165160,149.39,147.96
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,,S,147.66,144.72,22778870,148.15,144.51
83,1,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,144.85,148,28232610,148.67,144.4216
84,0,1,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,S,149.78,150.11,14506870,150.21,149.03
85,1,2,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,,S,150.19,150.17,14952950,151.48,149.77
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,,S,150.33,150.4,9584769,150.46,149.63
87,0,3,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,34.375,,S,150.04,150.31,11832750,150.65,149.41
88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,150.29,150.23,11994140,150.52,148.86
89,1,1,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S,150.48,151.49,17381800,152.59,150.21
90,0,3,"Celotti, Mr. Francesco",male,24,0,0,343275,8.05,,S,151.06,150.71,15813350,151.08,149.74
91,0,3,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,,S,150.24,151.45,17104730,151.63,149.79
92,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S,150.85,150.17,36185180,151.52,148.72
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,S,151.8,153.6,28301550,153.6,151.34
94,0,3,"Dean, Mr. Bertram Frank",male,26,1,2,C.A. 2315,20.575,,S,152.78,153.34,21617190,153.44,151.66
95,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,,S,152.46,151.74,25170200,152.57,151.42
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,150.25,149.5,30607510,151.53,149.07
97,0,1,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C,147.7,146.67,11072600,147.75,146.14
98,1,1,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,63.3583,D10 D12,C,146.56,147.09,12388100,147.59,146.09
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,23,,S,146.49,145.79,17718030,147.15,145.7898
100,0,2,"Kantor, Mr. Sinai",male,34,1,0,244367,26,,S,145.47,144.96,14397480,145.6738,144.34
101,0,3,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S,143.68,143.9,12172640,144.17,142.27
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,143.8,142.95,15948700,144.25,142.689
103,0,1,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S,142.27,141.35,15544500,143.04,141.27
104,0,3,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,,S,140.96,141.27,14795020,141.905,140.61
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,,S,141.42,139.76,11488510,141.55,139.75
106,0,3,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,,S,139.39,139.62,10939950,140.58,139.33
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S,139.58,139.72,11600930,140.4,139.44
108,1,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,139.92,140.8,16627940,141.0299,138.81
109,0,3,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,,S,141.04,141,9033921,141.43,140.63
110,1,3,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,140.78,141.2,11811450,141.55,140.24
111,0,1,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,141.17,142.11,15089610,142.22,140.91
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,141.85,142.26,17132150,143.44,141.29
113,0,3,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S,141.73,141.86,11934110,142.09,141.27
114,0,3,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,,S,142.28,141.93,13552550,142.47,140.82
115,0,3,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,,C,142.05,142.31,11366390,142.63,141.89
116,0,3,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S,142.41,142.4,12393610,142.95,141.85
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q,142.65,141.99,16504590,142.86,141.43
118,0,2,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,,S,141.76,140.36,14660670,141.95,140.01
119,0,1,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,C,140.32,139.05,12791820,140.65,138.77
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S,140.34,140.08,16636900,141.0244,139.76
121,0,2,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,,S,139.53,139.48,12992700,140.39,139.09
122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,139.59,137.93,17020610,139.79,137.6
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,138.51,141.15,29855980,142.3082,138.4
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S,139.94,139.71,12002150,140.19,139.25
125,0,1,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,D26,S,139.84,140.34,20487730,140.34,139.7
126,1,3,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C,139.99,140.2,13604260,140.25,139.73
127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,139.72,139.29,19315340,140.1,138.49
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24,0,0,C 17369,7.1417,,S,139.32,139.46,12935370,139.46,138.52
129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,139.6,138.71,10949000,139.68,138.6729
130,0,3,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,,S,138.79,138.91,16299220,139.49,138.22
131,0,3,"Drazenoic, Mr. Jozef",male,33,0,0,349241,7.8958,,C,138.24,137.72,15523900,138.57,137.4
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,137.72,137.15,10174840,137.99,137.0516
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S,137.3,137.03,13517880,138.37,136.99
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,,S,137.42,136.88,12562040,137.83,136.51
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S,137.17,136.63,11154380,137.33,136.08
136,0,2,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,,C,136.76,137.09,12278560,137.82,136.31
137,1,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S,137.42,136.47,16241330,137.48,136.3
138,0,1,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,S,135.54,136.79,16096310,136.805,134.75
139,0,3,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,,S,136.41,135.26,14300970,137.1846,135.02
140,0,1,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C,135.44,134.16,12617180,135.62,134.16
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C,135.36,135.89,18408460,136.12,134.33
142,1,3,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,,S,136.12,133.6,27331930,136.79,133.46
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,,S,133.72,133.5,14735860,133.91,132.9
144,0,3,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,,Q,133.53,133.5,12265480,134.0912,133.17
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,11.5,,S,133.84,133.07,12816260,133.87,133.022
146,0,2,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,,S,133.44,133.45,13215470,133.7,132.66
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,,S,133.85,134.1,14346090,134.23,132.55
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,,S,134.05,134.6975,13511640,134.6975,133.7
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,F2,S,134.19,134.1,15050270,134.94,133.68
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,,S,134.14,134.49,16454060,134.5,133.31
151,0,2,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,,S,134.2,132.6,22370760,134.44,132.44
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S,131.84,132.24,14585030,133,131.661
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,132.06,130.98,17015610,132.06,130.3
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,130.98,131.24,24776070,132.85,130.76
155,0,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S,130.84,133.22,54281800,135.49,130.4
156,0,1,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,,C,133.23,132.25,47329480,133.49,130.68
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q,130.32,130.17,19642550,130.66,129.5157
158,0,3,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,,S,130.98,131.58,18919750,131.58,129.6
159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,132.18,132.68,19505970,132.95,131.08
160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,132.78,131.63,19964800,133.14,131.4401
161,0,3,"Cribb, Mr. John Hatfield",male,44,0,1,371362,16.1,,S,131.48,130,18745640,131.74,129.77
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,,S,129.37,129.38,15140910,129.9,128.38
163,0,3,"Bengtsson, Mr. John Viktor",male,26,0,0,347068,7.775,,S,128.93,127.31,16566300,129.25,126.95
164,0,3,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,,S,127.04,128.1,19068380,128.48,126.78
165,0,3,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,,S,127.55,128.23,12171270,128.35,127.45
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,363291,20.525,,S,127.92,128.41,13107440,128.43,126.84
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55,E33,S,127.87,128.04,15279990,128.34,127.4
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S,128.34,127.49,24857410,129.27,127.37
169,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S,126.62,125.61,18596580,126.73,124.8
170,0,3,"Ling, Mr. Lee",male,28,0,0,1601,56.4958,,S,126.09,124.35,18334560,126.12,124.06
171,0,1,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,33.5,B19,S,124.35,124.82,17299590,125.5,124.28
172,0,3,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q,124.9,123.55,22874170,125.43,123.04
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1,1,1,347742,11.1333,,S,123.41,120.98,28525570,123.88,120.03
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,,S,120.67,118.86,19459380,120.95,118.3209
175,0,1,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,A7,C,118.69,117.55,19594560,119.66,117.29
176,0,3,"Klasen, Mr. Klas Albin",male,18,1,1,350404,7.8542,,S,116.86,116.03,20635600,117.84,115.51
177,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S,115.05,116.595,18668290,116.83,114.7739
178,0,1,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,28.7125,C49,C,116.35,117,9925082,117.531,116.06
179,0,2,"Hale, Mr. Reginald",male,30,0,0,250653,13,,S,116.92,118.19,11985740,118.25,116.65
180,0,3,"Leonard, Mr. Lionel",male,36,0,0,LINE,0,,S,118.01,116.96,12034590,118.68,116.864
181,0,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,117.27,117,10885030,117.56,116.3
182,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C,117.4,118.86,16226770,118.99,116.93
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S,119.04,118.92,10747610,119.2,118.48
184,1,2,"Becker, Master. Richard F",male,1,2,1,230136,39,F4,S,119.09,119.5,13673570,119.77,118.8
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,315153,22.025,,S,119.24,119.85,15871360,120.36,118.51
186,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50,A32,S,119.87,120.9,25316220,121.5,119.27
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q,120.57,120.08,20113550,122.5,119.63
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,111428,26.55,,S,120.21,120,25890630,121.69,118.85
189,0,3,"Bourke, Mr. John",male,40,1,1,364849,15.5,,Q,120.31,117.86,29568990,121.52,117.61
190,0,3,"Turcin, Mr. Stjepan",male,36,0,0,349247,7.8958,,S,117.77,119.22,17782470,119.24,117.65
191,1,2,"Pinsky, Mrs. (Rosa)",female,32,0,0,234604,13,,S,119.68,119.22,17452710,119.94,118.95
192,0,2,"Carbines, Mr. William",male,19,0,0,28424,13,,S,118.91,117.98,22427310,119.5,117.64
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,350046,7.8542,,S,117.95,117,21891800,117.95,116.57
194,1,2,"Navratil, Master. Michel M",male,3,1,1,230080,26,F2,S,117.31,117.69,19089060,117.795,116.33
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,27.7208,B4,C,117.43,115.95,20123920,117.57,115.07
196,1,1,"Lurette, Miss. Elise",female,58,0,0,PC 17569,146.5208,B80,C,115.4,115.11,25050450,116.48,114.3
197,0,3,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q,115.1,118.38,43231480,118.45,114
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,,S,118.42,120.32,30135230,121.79,117.95
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,,Q,120.87,120.57,18871130,122.1,120.4
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,248747,13,,S,120.41,120.12,18081770,121.69,119.82
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,,S,120.38,121.01,8658605,121.14,120.07
202,0,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S,120.84,121.23,15646580,121.31,119.94
203,0,3,"Johanson, Mr. Jakob Alfred",male,34,0,0,3101264,6.4958,,S,121.47,122.4,26006340,122.98,120.9
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,121.77,118.2,35359460,121.95,117.8
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0,A/5 3540,8.05,,S,117.02,118.39,22768330,119.13,116.84
206,0,3,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,G6,S,117.79,116.81,18570820,117.79,116.01
207,0,3,"Backstrom, Mr. Karl Alfred",male,32,1,0,3101278,15.85,,S,116.34,114.48,32358800,117.88,114.21
208,1,3,"Albimona, Mr. Nassef Cassem",male,26,0,0,2699,18.7875,,C,117.2,116.73,34629110,118.49,115.83
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16,0,0,367231,7.75,,Q,115.08,119.1256,51315610,119.1256,113.5535
210,1,1,"Blank, Mr. Henry",male,40,0,0,112277,31,A31,C,119.02,119.53,32814370,120.7,118.15
211,0,3,"Ali, Mr. Ahmed",male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,120.8,123.93,67808300,124.18,115.27
212,1,2,"Cameron, Miss. Clear Annie",female,35,0,0,F.C.C. 13528,21,,S,123.18,121.5,31883790,123.81,120.51
213,0,3,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,,S,124.22,122.03,19391790,124.61,121.54
